,Respondent,DatabaseDesireNextYear
122,305,Elasticsearch
122,305,Microsoft SQL Server
122,305,PostgreSQL
123,306,PostgreSQL
123,306,SQLite
124,308,SQLite
125,310,Microsoft SQL Server
126,311,Cassandra
126,311,Firebase
126,311,MongoDB
126,311,Microsoft SQL Server
126,311,MySQL
127,312,PostgreSQL
128,316,Elasticsearch
128,316,MySQL
128,316,PostgreSQL
129,317,Cassandra
129,317,DynamoDB
129,317,Elasticsearch
129,317,MongoDB
129,317,PostgreSQL
129,317,Redis
130,319,Elasticsearch
130,319,MongoDB
130,319,MySQL
130,319,Redis
131,321,Elasticsearch
131,321,PostgreSQL
131,321,Redis
132,322,PostgreSQL
133,324,Microsoft SQL Server
133,324,Oracle
134,326,Firebase
134,326,MySQL
134,326,Redis
134,326,SQLite
135,328,Cassandra
135,328,Elasticsearch
135,328,Firebase
135,328,MongoDB
135,328,Redis
136,329,Microsoft SQL Server
136,329,MySQL
136,329,PostgreSQL
136,329,SQLite
137,330,Elasticsearch
137,330,SQLite
138,332,Redis
139,333,PostgreSQL
139,333,Redis
140,334,DynamoDB
141,335,Microsoft SQL Server
142,338,MariaDB
142,338,MongoDB
142,338,Microsoft SQL Server
142,338,MySQL
142,338,Oracle
143,340,MongoDB
144,341,Microsoft SQL Server
145,345,DynamoDB
145,345,Elasticsearch
145,345,Firebase
145,345,MongoDB
146,351,Elasticsearch
146,351,PostgreSQL
147,352,MySQL
147,352,PostgreSQL
147,352,Redis
147,352,SQLite
148,354,DynamoDB
148,354,Elasticsearch
148,354,MongoDB
148,354,Redis
149,356,Elasticsearch
149,356,MongoDB
149,356,PostgreSQL
149,356,Redis
150,357,PostgreSQL
150,357,Redis
151,364,MongoDB
152,372,Elasticsearch
152,372,PostgreSQL
153,373,Firebase
154,374,Elasticsearch
154,374,MongoDB
154,374,PostgreSQL
154,374,SQLite
155,375,MySQL
155,375,PostgreSQL
156,378,MariaDB
156,378,MongoDB
156,378,Microsoft SQL Server
156,378,PostgreSQL
156,378,SQLite
157,382,MariaDB
157,382,MongoDB
157,382,MySQL
158,383,MongoDB
159,384,Elasticsearch
159,384,PostgreSQL
159,384,Redis
160,388,MongoDB
160,388,MySQL
161,389,DynamoDB
161,389,Elasticsearch
161,389,Firebase
161,389,MySQL
162,392,MongoDB
162,392,Microsoft SQL Server
162,392,MySQL
162,392,SQLite
163,394,Cassandra
163,394,Elasticsearch
163,394,PostgreSQL
163,394,Redis
164,395,Elasticsearch
164,395,Firebase
164,395,MongoDB
164,395,MySQL
164,395,Oracle
164,395,SQLite
165,398,Microsoft SQL Server
165,398,MySQL
165,398,SQLite
166,400,
167,401,
168,402,Oracle
168,402,Other(s):
169,404,Microsoft SQL Server
169,404,PostgreSQL
170,405,
171,406,Firebase
171,406,MongoDB
171,406,MySQL
172,408,Elasticsearch
172,408,MongoDB
172,408,PostgreSQL
172,408,Redis
172,408,SQLite
173,410,Microsoft SQL Server
174,411,MySQL
175,413,DynamoDB
175,413,Elasticsearch
175,413,MariaDB
175,413,PostgreSQL
175,413,Redis
176,414,
177,416,Microsoft SQL Server
177,416,PostgreSQL
178,421,DynamoDB
179,424,
180,426,Cassandra
180,426,Elasticsearch
180,426,Firebase
180,426,MongoDB
181,427,Elasticsearch
181,427,MongoDB
181,427,Microsoft SQL Server
181,427,Redis
181,427,Other(s):
182,428,PostgreSQL
183,429,
184,432,MariaDB
184,432,MySQL
185,434,Microsoft SQL Server
185,434,PostgreSQL
186,435,Cassandra
186,435,DynamoDB
186,435,Elasticsearch
186,435,MongoDB
186,435,Microsoft SQL Server
186,435,PostgreSQL
186,435,Redis
187,437,Microsoft SQL Server
188,439,MongoDB
188,439,Oracle
188,439,PostgreSQL
189,443,Firebase
189,443,MongoDB
190,445,MongoDB
190,445,Microsoft SQL Server
190,445,Redis
191,447,Cassandra
191,447,Elasticsearch
191,447,MySQL
191,447,Redis
192,450,
193,453,Microsoft SQL Server
193,453,Redis
194,460,Elasticsearch
194,460,MariaDB
194,460,SQLite
195,462,Microsoft SQL Server
195,462,PostgreSQL
195,462,SQLite
196,463,Firebase
196,463,MongoDB
196,463,MySQL
196,463,SQLite
197,466,Redis
198,467,PostgreSQL
199,469,MongoDB
200,471,DynamoDB
200,471,Elasticsearch
200,471,Redis
201,475,Microsoft SQL Server
201,475,MySQL
202,476,Firebase
202,476,PostgreSQL
203,479,Microsoft SQL Server
204,486,Elasticsearch
204,486,MongoDB
204,486,Microsoft SQL Server
205,489,PostgreSQL
205,489,Redis
205,489,SQLite
206,497,Firebase
206,497,SQLite
207,498,PostgreSQL
208,499,Elasticsearch
208,499,MongoDB
208,499,PostgreSQL
209,500,
210,503,MySQL
211,510,Elasticsearch
212,520,MongoDB
213,525,Microsoft SQL Server
214,526,PostgreSQL
214,526,SQLite
215,528,MongoDB
215,528,MySQL
215,528,Redis
216,529,MariaDB
216,529,MySQL
216,529,PostgreSQL
217,533,PostgreSQL
218,540,Elasticsearch
218,540,MongoDB
218,540,Redis
219,542,PostgreSQL
220,545,PostgreSQL
220,545,SQLite
221,547,Microsoft SQL Server
221,547,Redis
222,550,Microsoft SQL Server
222,550,Oracle
222,550,Redis
223,553,Microsoft SQL Server
224,554,Elasticsearch
224,554,MongoDB
224,554,Redis
225,555,Microsoft SQL Server
226,558,DynamoDB
226,558,Elasticsearch
226,558,PostgreSQL
227,561,PostgreSQL
228,562,PostgreSQL
229,564,SQLite
230,565,Elasticsearch
230,565,MongoDB
230,565,MySQL
230,565,PostgreSQL
230,565,Redis
231,566,
232,571,MongoDB
232,571,PostgreSQL
232,571,Redis
232,571,SQLite
233,572,PostgreSQL
233,572,SQLite
234,574,MariaDB
235,575,MySQL
235,575,Redis
236,578,MariaDB
237,581,MariaDB
237,581,MySQL
238,582,Firebase
238,582,Redis
239,583,Elasticsearch
239,583,MySQL
239,583,PostgreSQL
239,583,Other(s):
240,586,Firebase
240,586,MongoDB
240,586,Oracle
241,587,
242,588,Couchbase
242,588,DynamoDB
242,588,Elasticsearch
242,588,Microsoft SQL Server
242,588,MySQL
242,588,Oracle
242,588,PostgreSQL
242,588,Redis
243,590,Elasticsearch
243,590,Microsoft SQL Server
243,590,PostgreSQL
243,590,Redis
244,591,MongoDB
244,591,Microsoft SQL Server
245,594,MongoDB
245,594,MySQL
245,594,Redis
246,596,DynamoDB
246,596,Elasticsearch
246,596,MongoDB
246,596,MySQL
246,596,Oracle
246,596,PostgreSQL
246,596,Redis
246,596,SQLite
247,598,Elasticsearch
247,598,MySQL
247,598,Redis
248,602,Microsoft SQL Server
248,602,MySQL
248,602,Oracle
249,603,MariaDB
249,603,MongoDB
249,603,MySQL
249,603,PostgreSQL
250,604,MariaDB
250,604,Microsoft SQL Server
250,604,MySQL
250,604,SQLite
251,607,Redis
251,607,Other(s):
252,608,
253,613,Microsoft SQL Server
253,613,MySQL
254,614,Cassandra
254,614,Elasticsearch
254,614,Microsoft SQL Server
254,614,PostgreSQL
255,615,Microsoft SQL Server
255,615,Redis
256,626,
257,628,DynamoDB
258,637,Microsoft SQL Server
258,637,MySQL
258,637,SQLite
259,639,Firebase
259,639,PostgreSQL
260,640,
261,643,MySQL
262,645,Microsoft SQL Server
262,645,MySQL
263,650,MongoDB
263,650,MySQL
263,650,PostgreSQL
264,654,Elasticsearch
264,654,PostgreSQL
265,657,PostgreSQL
266,658,
267,659,MongoDB
267,659,PostgreSQL
267,659,Redis
268,660,Elasticsearch
268,660,Oracle
269,661,MySQL
269,661,Redis
269,661,SQLite
270,664,Cassandra
270,664,Elasticsearch
270,664,Firebase
270,664,MariaDB
270,664,MongoDB
270,664,Microsoft SQL Server
270,664,MySQL
270,664,Oracle
270,664,Redis
271,665,PostgreSQL
272,666,Microsoft SQL Server
273,667,MySQL
274,668,PostgreSQL
275,669,PostgreSQL
275,669,Other(s):
276,670,Elasticsearch
276,670,MongoDB
276,670,Microsoft SQL Server
276,670,Redis
276,670,SQLite
277,671,Cassandra
277,671,Firebase
277,671,MariaDB
277,671,MySQL
277,671,PostgreSQL
277,671,Redis
278,674,Firebase
278,674,PostgreSQL
279,675,Microsoft SQL Server
279,675,MySQL
279,675,SQLite
280,677,Other(s):
281,680,
282,683,Elasticsearch
282,683,MongoDB
282,683,PostgreSQL
282,683,Redis
283,685,SQLite
284,686,Microsoft SQL Server
285,688,Couchbase
285,688,Elasticsearch
285,688,Firebase
285,688,MariaDB
