,Respondent,DatabaseWorkedWith
119,301,Microsoft SQL Server
119,301,MySQL
119,301,Redis
120,302,Elasticsearch
120,302,Other(s):
121,304,Couchbase
121,304,DynamoDB
121,304,Elasticsearch
121,304,MongoDB
121,304,PostgreSQL
121,304,Redis
121,304,SQLite
122,305,Microsoft SQL Server
122,305,PostgreSQL
123,306,PostgreSQL
123,306,SQLite
124,308,PostgreSQL
124,308,SQLite
125,310,MongoDB
125,310,Microsoft SQL Server
125,310,SQLite
126,311,MongoDB
126,311,Microsoft SQL Server
126,311,MySQL
126,311,SQLite
127,312,PostgreSQL
128,316,Elasticsearch
128,316,MariaDB
128,316,MongoDB
128,316,MySQL
128,316,PostgreSQL
128,316,SQLite
129,317,PostgreSQL
130,319,Elasticsearch
130,319,MongoDB
130,319,MySQL
131,321,Elasticsearch
131,321,PostgreSQL
131,321,Redis
132,322,Microsoft SQL Server
132,322,PostgreSQL
132,322,Redis
132,322,SQLite
133,324,Microsoft SQL Server
133,324,Oracle
134,326,Firebase
134,326,MySQL
135,328,MongoDB
136,329,Microsoft SQL Server
136,329,MySQL
136,329,PostgreSQL
136,329,SQLite
137,330,Oracle
137,330,SQLite
138,332,SQLite
139,333,MongoDB
139,333,PostgreSQL
139,333,Redis
140,334,
141,335,Microsoft SQL Server
142,338,MariaDB
142,338,Microsoft SQL Server
142,338,MySQL
142,338,Oracle
143,340,Microsoft SQL Server
144,341,Microsoft SQL Server
144,341,MySQL
145,345,MongoDB
145,345,MySQL
146,351,
147,352,MySQL
147,352,PostgreSQL
147,352,Redis
147,352,SQLite
148,354,Elasticsearch
148,354,MySQL
148,354,Redis
149,356,MongoDB
149,356,MySQL
149,356,PostgreSQL
149,356,Redis
149,356,SQLite
150,357,MongoDB
151,364,DynamoDB
151,364,MariaDB
151,364,MySQL
151,364,Redis
152,372,Microsoft SQL Server
152,372,Oracle
152,372,PostgreSQL
153,373,Microsoft SQL Server
153,373,MySQL
153,373,Oracle
153,373,SQLite
154,374,PostgreSQL
154,374,SQLite
155,375,MySQL
155,375,PostgreSQL
156,378,MariaDB
156,378,Microsoft SQL Server
156,378,PostgreSQL
156,378,SQLite
157,382,MariaDB
157,382,MongoDB
157,382,Microsoft SQL Server
157,382,MySQL
158,383,MongoDB
159,384,Elasticsearch
159,384,PostgreSQL
159,384,Redis
160,388,MongoDB
160,388,MySQL
160,388,Oracle
161,389,Firebase
161,389,MySQL
161,389,PostgreSQL
161,389,SQLite
162,392,Microsoft SQL Server
162,392,MySQL
162,392,SQLite
163,394,Microsoft SQL Server
163,394,Redis
163,394,SQLite
164,395,Elasticsearch
164,395,MySQL
164,395,Oracle
164,395,SQLite
165,398,MariaDB
165,398,Microsoft SQL Server
165,398,MySQL
165,398,SQLite
166,400,
167,401,MySQL
167,401,PostgreSQL
167,401,Redis
168,402,Oracle
168,402,Other(s):
169,404,Firebase
169,404,SQLite
170,405,
171,406,MongoDB
171,406,MySQL
172,408,Couchbase
172,408,DynamoDB
172,408,MongoDB
172,408,PostgreSQL
172,408,SQLite
173,410,Microsoft SQL Server
174,411,MySQL
175,413,Elasticsearch
175,413,MariaDB
175,413,MySQL
175,413,Redis
176,414,MySQL
176,414,PostgreSQL
177,416,Microsoft SQL Server
177,416,PostgreSQL
178,421,DynamoDB
178,421,Firebase
178,421,MongoDB
178,421,MySQL
179,424,Oracle
179,424,SQLite
180,426,MySQL
180,426,Oracle
180,426,PostgreSQL
180,426,SQLite
181,427,Microsoft SQL Server
181,427,Redis
181,427,Other(s):
182,428,Oracle
183,429,Microsoft SQL Server
184,432,DynamoDB
184,432,Elasticsearch
184,432,MariaDB
184,432,MySQL
185,434,Microsoft SQL Server
186,435,MongoDB
186,435,Microsoft SQL Server
186,435,MySQL
186,435,SQLite
187,437,Microsoft SQL Server
188,439,MariaDB
188,439,MySQL
188,439,PostgreSQL
189,443,
190,445,Microsoft SQL Server
191,447,MySQL
191,447,Redis
192,450,
193,453,MongoDB
193,453,Microsoft SQL Server
194,460,MariaDB
194,460,MySQL
194,460,PostgreSQL
194,460,SQLite
195,462,Microsoft SQL Server
195,462,MySQL
195,462,PostgreSQL
195,462,SQLite
196,463,Firebase
196,463,MongoDB
196,463,MySQL
196,463,SQLite
197,466,MongoDB
197,466,Microsoft SQL Server
197,466,MySQL
197,466,PostgreSQL
197,466,SQLite
198,467,PostgreSQL
199,469,MariaDB
199,469,MySQL
200,471,MongoDB
200,471,MySQL
201,475,Microsoft SQL Server
201,475,MySQL
202,476,Firebase
202,476,PostgreSQL
203,479,Microsoft SQL Server
204,486,Elasticsearch
204,486,MongoDB
204,486,Microsoft SQL Server
205,489,PostgreSQL
205,489,SQLite
206,497,Firebase
206,497,MySQL
207,498,PostgreSQL
208,499,MariaDB
208,499,MySQL
208,499,PostgreSQL
208,499,SQLite
209,500,
210,503,MySQL
211,510,Elasticsearch
211,510,MySQL
211,510,PostgreSQL
212,520,Microsoft SQL Server
212,520,MySQL
212,520,Oracle
212,520,PostgreSQL
212,520,Redis
213,525,Microsoft SQL Server
214,526,PostgreSQL
214,526,SQLite
215,528,MariaDB
215,528,MySQL
215,528,Redis
216,529,MariaDB
216,529,MySQL
217,533,Oracle
217,533,PostgreSQL
218,540,PostgreSQL
219,542,PostgreSQL
219,542,Redis
220,545,MySQL
220,545,PostgreSQL
220,545,SQLite
221,547,Microsoft SQL Server
222,550,Microsoft SQL Server
222,550,MySQL
222,550,Oracle
223,553,Microsoft SQL Server
223,553,Oracle
224,554,MySQL
224,554,SQLite
225,555,Microsoft SQL Server
225,555,SQLite
226,558,DynamoDB
226,558,Elasticsearch
226,558,PostgreSQL
227,561,PostgreSQL
228,562,Microsoft SQL Server
229,564,SQLite
230,565,Elasticsearch
230,565,Firebase
230,565,MySQL
231,566,Microsoft SQL Server
232,571,MongoDB
232,571,PostgreSQL
232,571,Redis
232,571,SQLite
233,572,PostgreSQL
233,572,SQLite
234,574,MariaDB
234,574,MySQL
234,574,PostgreSQL
235,575,MySQL
235,575,Redis
235,575,SQLite
236,578,MariaDB
236,578,Microsoft SQL Server
236,578,PostgreSQL
237,581,MariaDB
237,581,MySQL
237,581,PostgreSQL
238,582,MariaDB
238,582,Microsoft SQL Server
238,582,MySQL
238,582,Oracle
239,583,MySQL
240,586,MySQL
240,586,SQLite
241,587,Elasticsearch
241,587,Firebase
241,587,Oracle
242,588,Couchbase
242,588,DynamoDB
242,588,Elasticsearch
242,588,Microsoft SQL Server
242,588,MySQL
242,588,Oracle
242,588,PostgreSQL
242,588,Redis
243,590,Elasticsearch
243,590,Microsoft SQL Server
243,590,MySQL
243,590,Oracle
243,590,SQLite
244,591,MongoDB
244,591,Microsoft SQL Server
245,594,MongoDB
245,594,MySQL
245,594,SQLite
246,596,DynamoDB
246,596,Elasticsearch
246,596,MongoDB
246,596,MySQL
246,596,Oracle
